,Hour,Month,DayOfWeek,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator
79,11,3,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",76,Not Fraud
80,16,3,0,Truck,FTG-083-BVC-766,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",63,Not Fraud
81,21,3,1,Van,FTG-082-XCV-437,B-102,Regular,Medium,140,120.0,"13.059816123454882, 77.77068662374292",88,Fraud
82,2,3,2,Sedan,FTG-073-LKJ-101,A-101,Express,Medium,160,60.0,"13.059816123454882, 77.77068662374292",74,Fraud
83,7,3,3,SUV,FTG-074-POU-871,B-102,Regular,Large,180,90.0,"13.059816123454882, 77.77068662374292",96,Fraud
84,12,3,4,Bus ,FTG-055-ZWC-543,C-103,Express,Large,350,140.0,"13.059816123454882, 77.77068662374292",61,Fraud
85,16,4,5,Car,FTG-066-PLM-216,A-101,Regular,Small,120,60.0,"13.059816123454882, 77.77068662374292",85,Fraud
86,22,4,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",52,Not Fraud
87,3,4,0,Truck,FTG-058-WSX-656,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",79,Not Fraud
88,7,4,1,Van,FTG-099-QAZ-322,B-102,Express,Medium,140,140.0,"13.059816123454882, 77.77068662374292",66,Not Fraud
89,12,4,2,Sedan,FTG-050-RFD-091,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",90,Not Fraud
90,15,4,3,SUV,FTG-081-YUI-764,B-102,Express,Large,180,140.0,"13.059816123454882, 77.77068662374292",48,Fraud
91,21,4,4,Bus ,FTG-082-BVC-431,C-103,Regular,Large,350,90.0,"13.059816123454882, 77.77068662374292",77,Fraud
92,2,4,5,Car,FTG-063-NBH-102,A-101,Express,Small,120,90.0,"13.059816123454882, 77.77068662374292",60,Fraud
93,6,4,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",83,Not Fraud
94,11,4,0,Truck,FTG-055-EDC-541,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",71,Not Fraud
95,15,4,1,Van,FTG-095-LMK-211,B-102,Regular,Medium,140,90.0,"13.059816123454882, 77.77068662374292",97,Fraud
96,20,4,2,Sedan,FTG-077-PLN-983,A-101,Express,Medium,160,160.0,"13.059816123454882, 77.77068662374292",46,Not Fraud
97,1,4,3,SUV,FTG-088-VFR-652,B-102,Regular,Large,180,0.0,"13.059816123454882, 77.77068662374292",81,Fraud
98,6,4,4,Bus ,FTG-079-RSX-321,C-103,Express,Large,350,100.0,"13.059816123454882, 77.77068662374292",64,Fraud
99,11,4,5,Car,FTG-170-QAZ-091,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",93,Not Fraud
100,15,4,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",57,Not Fraud
101,21,4,0,Truck,FTG-121-ABC-614,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",86,Not Fraud
102,3,4,1,Van,FTG-131-PQR-329,B-102,Express,Medium,140,90.0,"13.059816123454882, 77.77068662374292",55,Fraud
103,7,4,2,Sedan,FTG-114-DEF-092,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",82,Not Fraud
104,12,4,3,SUV,FTG-125-LMN-669,B-102,Express,Large,180,100.0,"13.059816123454882, 77.77068662374292",63,Fraud
105,16,4,4,Bus ,FTG-106-GHI-331,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",90,Not Fraud
106,22,4,5,Car,FTG-107-JKL-000,A-101,Express,Small,120,120.0,"13.059816123454882, 77.77068662374292",48,Not Fraud
107,4,4,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",76,Not Fraud
108,8,4,0,Truck,FTG-109-RST-448,C-103,Express,Large,350,100.0,"13.059816123454882, 77.77068662374292",58,Fraud
109,13,4,1,Van,FTG-110-MNO-118,B-102,Regular,Medium,140,140.0,"13.059816123454882, 77.77068662374292",87,Not Fraud
110,18,4,2,Sedan,FTG-111-QWE-889,A-101,Express,Medium,160,100.0,"13.059816123454882, 77.77068662374292",67,Fraud
111,23,4,3,SUV,FTG-112-ZXC-455,B-102,Regular,Large,180,90.0,"13.059816123454882, 77.77068662374292",94,Fraud
112,8,1,6,Bus ,FTG-113-PWI-323,C-103,Express,Large,350,100.0,"13.059816123454882, 77.77068662374292",71,Fraud
113,12,1,0,Car,FTG-114-KJH-087,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",89,Not Fraud
114,16,1,1,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",52,Not Fraud
115,22,1,2,Truck,FTG-116-NBH-338,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",79,Not Fraud
116,5,1,3,Van,FTG-117-LKI-007,B-102,Express,Medium,140,120.0,"13.059816123454882, 77.77068662374292",66,Fraud
117,11,1,4,Sedan,FTG-118-UYT-884,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",95,Not Fraud
118,14,1,5,SUV,FTG-119-FRD-338,B-102,Express,Large,180,120.0,"13.059816123454882, 77.77068662374292",44,Fraud
119,18,1,6,Bus ,FTG-120-TYU-118,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",78,Not Fraud
120,2,1,0,Car,FTG-121-BVC-989,A-101,Express,Small,120,90.0,"13.059816123454882, 77.77068662374292",61,Fraud
121,6,1,1,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",85,Not Fraud
122,10,1,2,Truck,FTG-123-NMK-333,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",49,Not Fraud
123,15,1,3,Van,FTG-124-CDE-792,B-102,Regular,Medium,140,90.0,"13.059816123454882, 77.77068662374292",74,Fraud
124,20,1,4,Sedan,FTG-125-VBN-752,A-101,Express,Medium,160,120.0,"13.059816123454882, 77.77068662374292",69,Fraud
125,1,1,5,SUV,FTG-126-PLM-410,B-102,Regular,Large,180,180.0,"13.059816123454882, 77.77068662374292",92,Not Fraud
126,7,1,6,Bus ,FTG-127-HGT-00W,C-103,Express,Large,350,140.0,"13.059816123454882, 77.77068662374292",57,Fraud
127,12,1,0,Car,FTG-128-WSX-855,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",83,Not Fraud
128,17,1,1,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",68,Not Fraud
129,22,1,2,Truck,FTG-130-LPO-013,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",96,Not Fraud
130,4,1,3,Van,FTG-131-ZAS-888,B-102,Express,Medium,140,90.0,"13.059816123454882, 77.77068662374292",46,Fraud
131,8,1,4,Sedan,FTG-132-IXC-452,A-101,Regular,Medium,160,120.0,"13.059816123454882, 77.77068662374292",81,Fraud
132,13,1,5,SUV,FTG-133-JOP-337,B-102,Express,Large,180,100.0,"13.059816123454882, 77.77068662374292",60,Fraud
133,16,1,6,Bus ,FTG-134-RWV-098,C-103,Regular,Large,350,180.0,"13.059816123454882, 77.77068662374292",88,Fraud
134,22,1,0,Car,FTG-125-EDC-768,A-101,Express,Small,120,0.0,"13.059816123454882, 77.77068662374292",53,Fraud
135,2,1,1,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",77,Not Fraud
136,7,1,2,Truck,FTG-137-NJI-102,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",64,Not Fraud
137,12,1,3,Van,FTG-128-LKJ-872,B-102,Regular,Medium,140,140.0,"13.059816123454882, 77.77068662374292",91,Not Fraud
138,15,1,4,Sedan,FTG-129-UTY-542,A-101,Express,Medium,160,160.0,"13.059816123454882, 77.77068662374292",50,Not Fraud
139,21,1,5,SUV,FTG-141-POU-211,B-102,Regular,Large,180,180.0,"13.059816123454882, 77.77068662374292",75,Not Fraud
140,3,1,6,Bus ,FTG-121-ZXC-981,C-103,Express,Large,350,90.0,"13.059816123454882, 77.77068662374292",59,Fraud
141,7,1,0,Car,FTG-122-VBN-659,A-101,Regular,Small,120,90.0,"13.059816123454882, 77.77068662374292",84,Fraud
142,11,1,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",66,Not Fraud
143,16,2,2,Truck,FTG-124-MKH-099,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",93,Not Fraud
144,21,2,3,Van,FTG-125-DCF-768,B-102,Express,Medium,140,100.0,"13.059816123454882, 77.77068662374292",45,Fraud
145,3,2,4,Sedan,FTG-126-POI-430,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",80,Not Fraud
146,8,2,5,SUV,FTG-127-XCV-103,B-102,Express,Large,180,180.0,"13.059816123454882, 77.77068662374292",62,Not Fraud
147,13,2,6,Bus ,FTG-128-JKL-871,C-103,Regular,Large,350,180.0,"13.059816123454882, 77.77068662374292",86,Fraud
148,18,2,0,Car,FTG-229-RFD-540,A-101,Express,Small,120,120.0,"13.059816123454882, 77.77068662374292",51,Not Fraud
149,23,2,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",73,Not Fraud
150,5,2,2,Truck,FTG-121-YUI-986,C-103,Express,Large,350,100.0,"13.059816123454882, 77.77068662374292",56,Fraud
151,9,2,3,Van,FTG-122-BVC-653,B-102,Regular,Medium,140,140.0,"13.059816123454882, 77.77068662374292",82,Not Fraud
152,14,2,4,Sedan,FTG-123-NBH-323,A-101,Express,Medium,160,100.0,"13.059816123454882, 77.77068662374292",70,Fraud
153,17,2,5,SUV,FTG-144-KJH-092,B-102,Regular,Large,180,180.0,"13.059816123454882, 77.77068662374292",97,Not Fraud
154,23,2,6,Bus ,FTG-145-EDC-742,C-103,Express,Large,350,180.0,"13.059816123454882, 77.77068662374292",47,Fraud
155,4,2,0,Car,FTG-156-LMK-421,A-101,Regular,Small,120,180.0,"13.059816123454882, 77.77068662374292",84,Fraud
156,8,2,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",65,Not Fraud
157,13,2,2,Truck,FTG-158-VFR-862,C-103,Regular,Large,350,180.0,"13.059816123454882, 77.77068662374292",92,Fraud
158,16,2,3,Van,FTG-159-WSX-441,B-102,Express,Medium,140,120.0,"13.059816123454882, 77.77068662374292",53,Fraud
159,22,2,4,Sedan,FTG-160-QAZ-212,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",79,Not Fraud
160,4,2,5,SUV,FTG-161-POU-998,B-102,Express,Large,180,160.0,"13.059816123454882, 77.77068662374292",61,Fraud
161,8,2,6,Bus ,FTG-162-NJH-552,C-103,Regular,Large,350,180.0,"13.059816123454882, 77.77068662374292",89,Fraud
162,13,2,0,Car,FTG-133-ZXC-322,A-101,Express,Small,120,120.0,"13.059816123454882, 77.77068662374292",44,Not Fraud
163,18,2,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",78,Not Fraud
164,22,2,2,Truck,FTG-135-LKJ-764,C-103,Express,Large,350,100.0,"13.059816123454882, 77.77068662374292",67,Fraud
165,4,2,3,Van,FTG-136-HGT-431,B-102,Regular,Medium,140,90.0,"13.059816123454882, 77.77068662374292",95,Fraud
166,8,2,4,Sedan,FTG-166-MKF-101,A-101,Express,Medium,160,160.0,"13.059816123454882, 77.77068662374292",55,Not Fraud
167,13,2,5,SUV,FTG-168-DCV-871,B-102,Regular,Large,180,120.0,"13.059816123454882, 77.77068662374292",80,Fraud
168,18,2,6,Bus ,FTG-169-NBH-542,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",62,Not Fraud
169,23,2,0,Car,FTG-140-POI-211,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",87,Not Fraud
170,5,2,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",47,Not Fraud
171,9,3,2,Truck,FTG-142-QAZ-651,C-103,Regular,Large,350,120.0,"13.059816123454882, 77.77068662374292",73,Fraud
172,14,3,3,Van,FTG-143-KJH-322,B-102,Express,Medium,140,100.0,"13.059816123454882, 77.77068662374292",68,Fraud
173,18,3,4,Sedan,FTG-144-VFR-092,A-101,Regular,Medium,160,90.0,"13.059816123454882, 77.77068662374292",91,Fraud
174,23,3,5,SUV,FTG-145-YUI-764,B-102,Express,Large,180,90.0,"13.059816123454882, 77.77068662374292",52,Fraud
175,3,3,6,Bus ,FTG-146-CDE-431,C-103,Regular,Large,350,90.0,"13.059816123454882, 77.77068662374292",82,Fraud
176,7,3,0,Car,FTG-147-LMK-110,A-101,Express,Small,120,120.0,"13.059816123454882, 77.77068662374292",56,Not Fraud
177,12,3,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",84,Not Fraud
178,16,3,2,Truck,FTG-139-RFD-443,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",69,Not Fraud
179,21,3,3,Van,FTG-140-TGB-211,B-102,Regular,Medium,140,120.0,"13.059816123454882, 77.77068662374292",94,Fraud
180,3,3,4,Sedan,FTG-141-BVC-988,A-101,Express,Medium,160,120.0,"13.059816123454882, 77.77068662374292",49,Fraud
181,8,3,5,SUV,FTG-142-XCV-658,B-102,Regular,Large,180,180.0,"13.059816123454882, 77.77068662374292",76,Not Fraud
182,13,3,6,Bus ,FTG-143-LKJ-327,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",63,Not Fraud
183,18,3,0,Car,FTG-144-POU-092,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",88,Not Fraud
184,23,3,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",74,Not Fraud
185,5,3,2,Truck,FTG-136-PLM-431,C-103,Regular,Large,350,120.0,"13.059816123454882, 77.77068662374292",96,Fraud
186,10,3,3,Van,FTG-137-HGT-107,B-102,Express,Medium,140,100.0,"13.059816123454882, 77.77068662374292",61,Fraud
187,14,3,4,Sedan,FTG-138-WSX-878,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",85,Not Fraud
188,19,3,5,SUV,FTG-139-QAZ-546,B-102,Express,Large,180,180.0,"13.059816123454882, 77.77068662374292",52,Not Fraud
189,0,3,6,Bus ,FTG-130-RFD-217,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",79,Not Fraud
190,6,3,0,Car,FTG-161-YUI-988,A-101,Express,Small,120,120.0,"13.059816123454882, 77.77068662374292",66,Not Fraud
191,11,3,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",90,Not Fraud
192,15,3,2,Truck,FTG-183-NBH-323,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",48,Not Fraud
193,21,3,3,Van,FTG-184-KJH-094,B-102,Regular,Medium,140,140.0,"13.059816123454882, 77.77068662374292",77,Not Fraud
194,2,3,4,Sedan,FTG-185-EDC-763,A-101,Express,Medium,160,160.0,"13.059816123454882, 77.77068662374292",60,Not Fraud
195,6,3,5,SUV,FTG-186-LMK-431,B-102,Regular,Large,180,90.0,"13.059816123454882, 77.77068662374292",83,Fraud
196,11,3,6,Bus ,FTG-187-WLN-109,C-103,Express,Large,350,160.0,"13.059816123454882, 77.77068662374292",71,Fraud
197,16,3,0,Car,FTG-188-VFR-872,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",97,Not Fraud
198,21,3,1,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",46,Not Fraud
199,2,3,2,Truck,FTG-200-QAZ-214,C-103,Regular,Large,350,100.0,"13.059816123454882, 77.77068662374292",81,Fraud
200,7,3,3,Van,FTG-201-XYZ-982,B-102,Express,Medium,140,140.0,"13.059816123454882, 77.77068662374292",64,Not Fraud
201,8,1,6,Sedan,FTG-212-ABC-657,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",93,Not Fraud
202,12,1,0,SUV,FTG-203-PQR-323,B-102,Express,Large,180,120.0,"13.059816123454882, 77.77068662374292",57,Fraud
203,16,1,1,Bus ,FTG-204-WEF-098,C-103,Regular,Large,350,100.0,"13.059816123454882, 77.77068662374292",86,Fraud
204,22,1,2,Car,FTG-205-LMN-758,A-101,Express,Small,120,120.0,"13.059816123454882, 77.77068662374292",55,Not Fraud
205,5,1,3,Motorcycle,Not Required,D-105,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",82,Not Fraud
206,11,1,4,Truck,FTG-217-JKL-104,C-103,Express,Large,350,90.0,"13.059816123454882, 77.77068662374292",63,Fraud
